ID,CG Year 1,1,2,3,4,5,6,7,8,9,alloted
2,9.35,A7,AA,A3,A8,A4,AB,A1,A2,A5,
3,9.16,A7,,,,,,,,,
4,8.946,A7,AA,A3,A8,A4,A1,A2,AB,A5,
5,8.92,A7,AA,A3,A4,A8,AB,A2,A1,A5,
6,8.865,A7,AA,A3,A8,A4,A1,A2,AB,A5,
7,8.756,A7,AA,A3,A8,A4,A2,AB,A1,A5,
8,8.622,A7,AA,A3,A4,A8,,A2,A5,AB,
9,8.595,A7,A4,AA,A8,A3,A2,AB,A1,A5,
10,8.595,A7,AA,A3,A4,A8,A2,A1,AB,A5,
11,8.595,A7,AA,A3,A4,A5,AB,A1,A2,A8,
12,8.594,A7,AA,A3,A8,A4,A1,AB,A2,A5,
13,8.541,A7,AA,A3,A4,A8,,,,,
14,8.54,A7,AA,A3,A8,A4,AB,A1,A2,A5,
15,8.514,A7,AA,A3,A4,A8,A1,AB,A2,A5,
16,8.514,A7,AA,A3,,,,,,,
17,8.46,A7,AA,A3,A8,A4,AB,A2,A1,A5,
18,8.432,A7,AA,A3,A4,A8,A1,AB,A2,A5,
19,8.378,A7,AA,A3,A8,A4,A1,A2,AB,A5,
20,8.324,A7,AA,A3,A8,A1,A2,A4,AB,A5,
21,8.297,A7,AA,A3,A8,A4,AB,A2,A1,A5,
22,8.27,A7,AA,A3,A8,A4,A1,AB,,,
23,8.27,A7,AA,A3,A8,,,,,,
24,8.243,A7,AA,A3,A8,A4,A1,A2,AB,A5,
25,8.243,A7,AA,A3,A8,A4,A2,AB,A1,A5,
26,8.189,A7,AA,A3,A8,A4,A1,AB,A2,A5,
27,8.162,A7,AA,A3,A8,A4,A1,AB,A2,A5,
28,8.135,A7,AA,A3,A8,A4,A2,AB,A1,A5,
29,8.135,A7,AA,A3,A8,,,,,,
30,8.126,A7,AA,A3,A4,A8,A1,A2,AB,A5,
31,8.054,A7,AA,A3,,,,,,,
32,8,A7,AA,A3,A4,A3,A2,A1,AB,A5,
33,8,A7,AA,A3,A8,A5,,,,,
34,8,A7,AA,A3,A8,A4,AB,A1,A2,A5,
35,8,A7,AA,A3,A8,A4,A2,A1,AB,A5,
36,7.973,A7,A4,AA,A3,A2,A8,AB,A1,A5,
37,7.94,A7,AA,A3,A4,A8,A1,A2,A5,,
38,7.92,A7,AA,A4,A3,A8,A1,AB,A2,A5,
39,7.838,A7,AA,A3,A8,A4,AB,A1,A2,A5,
40,7.83,A7,AA,A3,A4,A8,AB,A1,A2,A5,
41,7.82,A7,AA,A3,A8,A4,A1,A2,,,
42,7.73,A7,AA,A3,A8,A4,A1,A2,A5,AB,
43,7.73,A7,AA,A3,A8,A4,,AB,A1,A5,
44,7.7,A7,AA,A3,A4,A8,,,,,
45,7.676,A7,AA,A3,A8,A4,AB,A1,A2,A5,
46,7.62,A7,AA,A3,A8,A4,A1,AB,A2,A5,
47,7.541,A7,AA,A4,A3,,,,,,
48,7.541,AA,A3,A8,A4,A7,AB,A1,A2,A5,
49,7.54,A7,AA,A3,A4,A8,A2,AB,A1,A5,
50,7.5,A7,AA,A3,A8,A4,AB,A1,A2,A5,
51,7.486,A7,AA,A3,A8,A4,A1,A2,AB,A5,
52,7.432,A7,AA,A3,A8,A4,AB,A2,A1,A5,
53,7.43,AA,A3,A7,A8,A4,A1,A2,AB,A5,
54,7.4,A7,AA,A3,A8,A4,A1,AB,A2,A5,
55,7.378,A7,AA,A3,A4,A8,AB,A1,A2,A5,
56,7.351,A7,A4,A2,,,,,,,
57,7.351,A7,AA,A3,A4,A8,A2,AB,A1,A5,
58,7.35,A7,AA,A3,A8,A4,A1,A2,AB,A5,
59,7.277,A7,AA,A3,A8,A4,AB,A1,A2,A5,
60,7.24,A7,AA,A3,A8,A4,A1,AB,A2,A5,
61,7.216,A3,A8,A4,,,,,,,
62,7.205,A7,AA,A3,A8,A4,,,,,
63,7.189,A7,AA,A3,A8,A4,AB,A1,A2,A5,
64,7.162,A7,AA,A3,A8,A4,AB,A1,A2,A5,
65,7.135,A7,A3,A8,A4,AB,,,,,
66,7.02,A7,AA,A3,A4,A8,A1,A2,AB,A5,
67,7,A7,AA,A3,A8,A4,AB,A2,A1,A5,
68,6.974,A7,AA,A8,A3,A4,AB,A1,A2,A5,
69,6.73,A7,AA,A3,A8,A4,A1,A2,AB,A5,
70,6.72,A7,AA,A3,A8,A1,A4,AB,A2,A5,
71,6.7,A7,AA,A3,A4,A8,A2,A1,AB,A5,
72,6.676,A7,AA,A3,A8,A4,A2,AB,A1,A5,
73,6.62,A7,AA,A3,A4,A8,A1,A2,AB,A5,
74,6.42,A7,AA,A3,A8,A4,A2,A1,AB,A5,
75,6.37,A7,AA,A3,A4,A8,A2,A1,AB,A5,
76,6.35,A7,AA,A3,A4,A8,A1,AB,A2,A5,
77,6.3,A7,A4,AB,A1,A2,A3,AA,A8,A5,
78,6.26,A7,AA,A3,A8,A4,A1,AB,A2,A5,
79,6.135,A7,A4,AA,A8,A3,A2,A1,AB,A5,
80,6.108,A7,AA,A3,A4,A8,A1,A2,AB,A5,
81,5,A7,AA,A3,A8,A4,AB,A2,A1,A5,
82,4.49,A7,A4,A1,A2,AB,AA,A8,A3,A5,
83,4.4835,A7,AA,A3,A8,A4,A2,A1,AB,A8,